Cust. ID,Arrival Time,Start Execution,Server ID,Exit System,Waiting Time,Turnaround Time
1,22.55,22.55,0,22.68,0,0.129999999999999
2,24.49,24.49,0,24.57,0,0.080000000000002
3,30.37,30.37,0,31.1,0,0.73
4,41.76,41.76,0,41.86,0,0.100000000000001
5,61.55,61.55,0,62.74,0,1.19
6,64.9,64.9,0,65.85,0,0.949999999999989
7,65.61,65.85,0,65.89,0.239999999999995,0.280000000000001
8,71.12,71.12,0,71.25,0,0.129999999999995
9,73.13,73.13,0,74.49,0,1.36
10,78.58,78.58,0,78.63,0,0.049999999999997
11,84.08,84.08,0,84.59,0,0.510000000000005
12,90.91,90.91,0,91.33,0,0.420000000000002
13,114.96,114.96,0,115.93,0,0.970000000000013
14,124.86,124.86,0,125.55,0,0.689999999999998
15,139.58,139.58,0,139.72,0,0.139999999999986
16,151.24,151.24,0,151.31,0,0.069999999999993
17,152.18,152.18,0,153.07,0,0.889999999999986
18,171.42,171.42,0,171.98,0,0.560000000000002
19,171.68,171.98,0,172.67,0.299999999999983,0.989999999999981
20,174.24,174.24,0,176.13,0,1.88999999999999
21,175.98,176.13,0,178,0.150000000000006,2.02000000000001
22,192.29,192.29,0,192.89,0,0.599999999999994
23,203.93,203.93,0,204.46,0,0.530000000000001
24,212.94,212.94,0,213.09,0,0.150000000000006
25,219.23,219.23,0,220.1,0,0.870000000000005
26,226.75,226.75,0,227.02,0,0.27000000000001
27,228.18,228.18,0,228.26,0,0.079999999999984
28,230.65,230.65,0,230.85,0,0.199999999999989
29,240.7,240.7,0,241.64,0,0.939999999999998
30,242.06,242.06,0,243.66,0,1.59999999999999
31,247.28,247.28,0,247.72,0,0.439999999999998
32,261.53,261.53,0,261.82,0,0.29000000000002
33,264.07,264.07,0,264.61,0,0.54000000000002
34,278.92,278.92,0,279.19,0,0.269999999999982
35,282.97,282.97,0,283.28,0,0.309999999999945
36,291.47,291.47,0,292.45,0,0.979999999999961
37,323.95,323.95,0,324.08,0,0.129999999999995
38,352.06,352.06,0,352.8,0,0.740000000000009
39,360.8,360.8,0,361.36,0,0.560000000000002
40,370.81,370.81,0,370.82,0,0.009999999999991
41,377.13,377.13,0,377.35,0,0.220000000000027
42,384.61,384.61,0,384.82,0,0.20999999999998
43,384.85,384.85,0,385.37,0,0.519999999999982
44,417.62,417.62,0,418.2,0,0.579999999999984
45,420.78,420.78,0,420.89,0,0.110000000000014
46,424.18,424.18,0,424.19,0,0.009999999999991
47,430.8,430.8,0,431.08,0,0.279999999999973
48,435.15,435.15,0,435.24,0,0.090000000000032
49,442.62,442.62,0,442.94,0,0.319999999999993
50,455.86,455.86,0,455.93,0,0.069999999999993
51,470.54,470.54,0,471.85,0,1.31
52,496.31,496.31,0,496.54,0,0.230000000000018
53,509.38,509.38,0,510.47,0,1.09000000000003
54,514.91,514.91,0,515.04,0,0.129999999999995
55,522.74,522.74,0,523.89,0,1.14999999999998
56,539.93,539.93,0,540.99,0,1.06000000000006
57,544.4,544.4,0,544.89,0,0.490000000000009
58,548.32,548.32,0,548.76,0,0.439999999999941
59,553.85,553.85,0,554.08,0,0.230000000000018
60,554.67,554.67,0,555.29,0,0.620000000000005
61,557.05,557.05,0,557.15,0,0.100000000000023
62,567.06,567.06,0,567.11,0,0.050000000000068
63,572.5,572.5,0,572.94,0,0.440000000000055
64,578.72,578.72,0,578.75,0,0.029999999999973
65,599.37,599.37,0,600.14,0,0.769999999999982
66,602.4,602.4,0,602.71,0,0.310000000000059
67,609.64,609.64,0,610.16,0,0.519999999999982
68,626.46,626.46,0,626.76,0,0.299999999999955
69,635.82,635.82,0,635.84,0,0.019999999999982
70,656.55,656.55,0,656.92,0,0.370000000000005
