Cust. ID,Arrival Time,Start Execution,Server ID,Exit System,Waiting Time,Turnaround Time
1,0.78,0.78,0,1.61,0,0.83
2,0.84,1.61,0,1.92,0.77,1.08
3,1.01,1.92,0,4.37,0.91,3.36
4,2.62,4.37,0,4.71,1.75,2.09
5,3.88,4.71,0,9.22,0.83,5.34
6,7.47,9.22,0,11.84,1.75,4.37
7,8.63,11.84,0,12.03,3.21,3.4
8,8.74,12.03,0,14.75,3.29,6.01
9,14.87,14.87,0,15.57,0,0.700000000000001
10,15.95,15.95,0,16.75,0,0.800000000000001
11,19.59,19.59,0,19.95,0,0.359999999999999
12,22.86,22.86,0,28.22,0,5.36
13,24.12,28.22,0,30.78,4.1,6.66
14,24.54,30.78,0,31.92,6.24,7.38
15,24.7,31.92,0,33.61,7.22,8.91
16,25.48,33.61,0,33.94,8.13,8.46
17,26.8,33.94,0,34.91,7.14,8.11
18,27.7,34.91,0,38.37,7.21,10.67
19,30.76,38.37,0,41.44,7.61,10.68
20,30.77,41.44,0,42.31,10.67,11.54
21,31,42.31,0,42.92,11.31,11.92
22,31.06,42.92,0,44.82,11.86,13.76
23,36.32,44.82,0,45.24,8.5,8.92
24,37.15,45.24,0,46.79,8.09,9.64
25,38.3,46.79,0,48.93,8.49,10.63
26,38.59,48.93,0,51.09,10.34,12.5
27,39.08,51.09,0,53.87,12.01,14.79
28,41.63,53.87,0,53.99,12.24,12.36
29,41.79,53.99,0,54.52,12.2,12.73
30,42.81,54.52,0,57.09,11.71,14.28
31,44.26,57.09,0,59.31,12.83,15.05
32,44.94,59.31,0,60.05,14.37,15.11
33,45.61,60.05,0,61.08,14.44,15.47
34,47.97,61.08,0,61.16,13.11,13.19
35,48.55,61.16,0,62.65,12.61,14.1
36,49.75,62.65,0,64.06,12.9,14.31
37,52.49,64.06,0,66.56,11.57,14.07
38,52.98,66.56,0,67.35,13.58,14.37
39,53.22,67.35,0,67.87,14.13,14.65
40,55.37,67.87,0,68.83,12.5,13.46
41,56.74,68.83,0,70.3,12.09,13.56
42,56.85,70.3,0,71.34,13.45,14.49
43,58.87,71.34,0,71.36,12.47,12.49
44,60.5,71.36,0,76.84,10.86,16.34
45,60.7,76.84,0,80.95,16.14,20.25
46,64.07,80.95,0,81.68,16.88,17.61
47,65.12,81.68,0,82.19,16.56,17.07
48,66.96,82.19,0,83.38,15.23,16.42
49,67,83.38,0,86.74,16.38,19.74
50,68.02,86.74,0,88.31,18.72,20.29
51,72.1,88.31,0,89.6,16.21,17.5
52,72.18,89.6,0,91.26,17.42,19.08
53,77.39,91.26,0,92.86,13.87,15.47
