Cust. ID,Arrival Time,Start Execution,Server ID,Exit System,Waiting Time,Turaround Time
1,21.16,21.16,0,21.21,0,0.050000000000001
2,31.99,31.99,0,32.78,0,0.790000000000003
3,45.08,45.08,0,46.2,0,1.12
4,47.8,47.8,0,48.17,0,0.370000000000005
5,68.75,68.75,0,68.94,0,0.189999999999998
6,78.01,78.01,0,78.3,0,0.289999999999992
7,78.55,78.55,0,78.67,0,0.120000000000005
8,98.88,98.88,0,102.36,0,3.48
9,101.32,102.36,0,103.75,1.04000000000001,2.43000000000001
10,114.72,114.72,0,115.74,0,1.02
11,118.1,118.1,0,119.55,0,1.45
12,134.64,134.64,0,135.28,0,0.640000000000015
13,144.92,144.92,0,146.16,0,1.24000000000001
14,150.99,150.99,0,151.07,0,0.079999999999984
15,163.17,163.17,0,163.51,0,0.340000000000003
16,172.15,172.15,0,172.77,0,0.620000000000005
17,176.39,176.39,0,177.95,0,1.56
18,181.31,181.31,0,182.64,0,1.32999999999998
19,199.62,199.62,0,201.28,0,1.66
20,200.26,201.28,0,201.66,1.02000000000001,1.40000000000001
21,200.42,201.66,0,202.14,1.24000000000001,1.72
22,204.5,204.5,0,205.25,0,0.75
23,246.52,246.52,0,246.55,0,0.030000000000001
24,248.44,248.44,0,248.84,0,0.400000000000006
25,253.71,253.71,0,254.63,0,0.919999999999988
26,261.66,261.66,0,262.22,0,0.560000000000002
27,273.52,273.52,0,273.73,0,0.210000000000036
28,279.82,279.82,0,280.64,0,0.819999999999993
29,294.08,294.08,0,294.48,0,0.400000000000034
30,311.24,311.24,0,311.5,0,0.259999999999991
31,312.96,312.96,0,314.45,0,1.49000000000001
32,325.62,325.62,0,325.98,0,0.360000000000014
33,328.64,328.64,0,329.21,0,0.569999999999993
34,336.67,336.67,0,336.69,0,0.019999999999982
35,337.11,337.11,0,337.18,0,0.069999999999993
36,338.19,338.19,0,338.94,0,0.75
37,347.71,347.71,0,349.3,0,1.59000000000003
38,349.78,349.78,0,349.95,0,0.170000000000016
39,351.7,351.7,0,352.99,0,1.29000000000002
40,372.96,372.96,0,373.66,0,0.700000000000046
41,377.39,377.39,0,377.8,0,0.410000000000025
42,379.68,379.68,0,379.79,0,0.110000000000014
43,381.17,381.17,0,382.06,0,0.889999999999986
44,386.51,386.51,0,387.7,0,1.19
45,392.8,392.8,0,393.18,0,0.379999999999995
46,401.45,401.45,0,404.15,0,2.69999999999999
