Cust. ID,Arrival Time,Start Execution,Server ID,Exit System,Waiting Time,Turaround Time
105,1266.76,1266.76,0,1267.82,0,1.05999999999995
106,1285.66,1285.66,0,1286.45,0,0.789999999999964
107,1299.45,1299.45,0,1301.01,0,1.55999999999995
108,1306.19,1306.19,0,1307.49,0,1.29999999999995
109,1307.99,1307.99,0,1309.23,0,1.24000000000001
110,1320.52,1320.52,0,1320.8,0,0.279999999999973
111,1325.12,1325.12,0,1327.43,0,2.31000000000017
112,1340.77,1340.77,0,1341.63,0,0.860000000000127
113,1341.25,1341.63,0,1341.97,0.380000000000109,0.720000000000027
114,1343,1343,0,1343.86,0,0.8599999999999
115,1344.98,1344.98,0,1345.58,0,0.599999999999909
116,1362.95,1362.95,0,1363.72,0,0.769999999999982
117,1372.42,1372.42,0,1372.78,0,0.3599999999999
118,1377,1377,0,1377.46,0,0.460000000000036
119,1381.49,1381.49,0,1382.53,0,1.03999999999996
120,1418.89,1418.89,0,1418.94,0,0.049999999999955
121,1454.88,1454.88,0,1455.04,0,0.159999999999854
122,1497.6,1497.6,0,1499.78,0,2.18000000000006
123,1503.99,1503.99,0,1504.27,0,0.279999999999973
124,1510.18,1510.18,0,1510.73,0,0.549999999999955
125,1514.62,1514.62,0,1514.87,0,0.25
126,1525.16,1525.16,0,1527.87,0,2.70999999999981
127,1531.9,1531.9,0,1532.02,0,0.119999999999891
128,1546.03,1546.03,0,1546.66,0,0.630000000000109
129,1561.25,1561.25,0,1561.79,0,0.539999999999964
130,1567.81,1567.81,0,1567.99,0,0.180000000000064
131,1570.81,1570.81,0,1572.42,0,1.61000000000013
132,1593.65,1593.65,0,1594.35,0,0.699999999999818
133,1596.49,1596.49,0,1597.94,0,1.45000000000005
134,1600.12,1600.12,0,1606.43,0,6.31000000000017
135,1603.53,1606.43,0,1606.82,2.90000000000009,3.28999999999996
136,1646.2,1646.2,0,1647.68,0,1.48000000000002
137,1663.38,1663.38,0,1663.39,0,0.009999999999991
138,1664.98,1664.98,0,1666.82,0,1.83999999999992
