Cust. ID,Arrival Time,Start Execution,Server ID,Exit System,Waiting Time,Turnaround Time
1,1.03,1.03,0,10.53,0,9.5
2,2.16,10.53,0,18.72,8.37,16.56
3,5.5,18.72,0,19.33,13.22,13.83
4,5.92,19.33,0,19.64,13.41,13.72
5,6.2,19.64,0,20.19,13.44,13.99
6,8.56,20.19,0,22.49,11.63,13.93
7,19.85,22.49,0,26.63,2.64,6.78
8,21.12,26.63,0,27.35,5.51,6.23
9,21.75,27.35,0,28.03,5.6,6.28
10,22.24,28.03,0,30.65,5.79,8.41
11,22.63,30.65,0,30.67,8.02,8.04
12,26.22,30.67,0,30.96,4.45,4.74
13,31.22,31.22,0,31.67,0,0.450000000000003
14,31.84,31.84,0,34.02,0,2.18
15,33.74,34.02,0,34.7,0.280000000000001,0.960000000000001
16,34.43,34.7,0,36.02,0.270000000000003,1.59
17,38.2,38.2,0,38.22,0,0.019999999999996
18,43.13,43.13,0,47.43,0,4.3
19,43.56,47.43,0,50.01,3.87,6.45
20,43.6,50.01,0,54.11,6.41,10.51
21,44.34,54.11,0,59.53,9.77,15.19
22,44.89,59.53,0,63.47,14.64,18.58
23,44.99,63.47,0,64.27,18.48,19.28
24,46.8,64.27,0,64.59,17.47,17.79
25,54.53,64.59,0,65.47,10.06,10.94
26,54.78,65.47,0,66.69,10.69,11.91
27,55.35,66.69,0,68.16,11.34,12.81
28,58.21,68.16,0,68.38,9.95,10.17
29,58.5,68.38,0,70.18,9.88,11.68
30,65.21,70.18,0,71.42,4.97000000000001,6.21000000000001
31,67.62,71.42,0,72.73,3.8,5.11
32,67.98,72.73,0,73.78,4.75,5.8
33,69.74,73.78,0,74.6,4.04000000000001,4.86
34,71.72,74.6,0,76.05,2.88,4.33
35,75.44,76.05,0,79.18,0.609999999999999,3.74000000000001
36,80.25,80.25,0,80.3,0,0.049999999999997
37,82.14,82.14,0,83.1,0,0.959999999999994
38,82.71,83.1,0,83.83,0.390000000000001,1.12
39,84.01,84.01,0,87.49,0,3.47999999999999
40,91.7,91.7,0,92.23,0,0.530000000000001
41,102.95,102.95,0,103.17,0,0.219999999999999
42,105.23,105.23,0,105.26,0,0.030000000000001
43,105.35,105.35,0,106.24,0,0.890000000000001
44,107.04,107.04,0,107.73,0,0.689999999999998
45,109.48,109.48,0,110.01,0,0.530000000000001
46,109.93,110.01,0,114.45,0.079999999999998,4.52
47,116.72,116.72,0,118.88,0,2.16
48,119.38,119.38,0,120.83,0,1.45
49,120.6,120.83,0,126.27,0.230000000000004,5.67
50,121.4,126.27,0,127.73,4.86999999999999,6.33
51,125.72,127.73,0,128.75,2.01000000000001,3.03
52,127.27,128.75,0,129,1.48,1.73
53,129.55,129.55,0,132.84,0,3.28999999999999
54,131.65,132.84,0,133,1.19,1.34999999999999
55,138.52,138.52,0,139.33,0,0.810000000000002
56,139.11,139.33,0,139.96,0.219999999999999,0.849999999999994
57,143.08,143.08,0,143.8,0,0.719999999999999
58,145.32,145.32,0,146.77,0,1.45000000000002
59,146.37,146.77,0,148.29,0.400000000000006,1.91999999999999
60,152.97,152.97,0,153.46,0,0.490000000000009
61,160.14,160.14,0,160.23,0,0.090000000000003
62,160.61,160.61,0,162.25,0,1.63999999999999
63,161.1,162.25,0,165.56,1.15000000000001,4.46000000000001
64,162.7,165.56,0,165.73,2.86000000000001,3.03
65,164.67,165.73,0,169.02,1.06,4.35000000000002
66,165.2,169.02,0,170.41,3.82000000000002,5.21000000000001
67,169.46,170.41,0,171.01,0.949999999999989,1.54999999999998
68,173.05,173.05,0,173.9,0,0.849999999999994
69,174.14,174.14,0,174.17,0,0.030000000000001
70,175.23,175.23,0,178.62,0,3.39000000000001
71,181.63,181.63,0,181.65,0,0.02000000000001
72,186.92,186.92,0,188.27,0,1.35000000000002
73,186.98,188.27,0,188.68,1.29000000000002,1.70000000000002
74,190.64,190.64,0,191.59,0,0.950000000000017
75,193.41,193.41,0,195.09,0,1.68000000000001
76,194.19,195.09,0,195.28,0.900000000000006,1.09
77,195.89,195.89,0,199.13,0,3.24000000000001
78,197.75,199.13,0,203.26,1.38,5.50999999999999
79,199.07,203.26,0,204.65,4.19,5.58000000000001
80,199.46,204.65,0,209.21,5.19,9.75
81,200.59,209.21,0,210.51,8.62,9.91999999999999
82,202.49,210.51,0,210.88,8.01999999999998,8.38999999999999
83,202.51,210.88,0,211.06,8.37,8.55000000000001
84,204.28,211.06,0,211.18,6.78,6.90000000000001
85,207.1,211.18,0,212.13,4.08000000000001,5.03
86,207.58,212.13,0,215.09,4.54999999999998,7.50999999999999
87,207.59,215.09,0,215.17,7.5,7.57999999999998
88,210.71,215.17,0,217.61,4.45999999999998,6.90000000000001
89,211.33,217.61,0,219.19,6.28,7.85999999999999
90,211.74,219.19,0,223,7.44999999999999,11.26
91,213.45,223,0,223.23,9.55000000000001,9.78
92,213.71,223.23,0,224.04,9.51999999999998,10.33
93,222.62,224.04,0,225.43,1.41999999999999,2.81
94,225.27,225.43,0,225.67,0.159999999999997,0.399999999999977
95,229.07,229.07,0,229.25,0,0.180000000000007
96,230.01,230.01,0,234.78,0,4.77000000000001
97,230.24,234.78,0,236.22,4.53999999999999,5.97999999999999
98,230.42,236.22,0,236.35,5.80000000000001,5.93000000000001
99,233.6,236.35,0,239.33,2.75,5.73000000000002
100,239.49,239.49,0,240.87,0,1.38
101,239.59,240.87,0,242.55,1.28,2.96000000000001
102,240.44,242.55,0,246.37,2.11000000000001,5.93000000000001
103,241.61,246.37,0,247.81,4.75999999999999,6.19999999999999
104,241.97,247.81,0,250.63,5.84,8.66
105,242.29,250.63,0,252.68,8.34,10.39
106,242.31,252.68,0,252.68,10.37,10.37
107,244.31,252.68,0,253.53,8.37,9.22
108,250.9,253.53,0,258.56,2.63,7.66
109,262.82,262.82,0,264.3,0,1.48000000000002
110,264.62,264.62,0,264.77,0,0.149999999999977
111,265.46,265.46,0,266.89,0,1.43000000000001
112,265.51,266.89,0,267.12,1.38,1.61000000000001
113,266.2,267.12,0,267.18,0.920000000000016,0.980000000000018
114,268.83,268.83,0,270.87,0,2.04000000000002
115,270.82,270.87,0,273.7,0.050000000000011,2.88
116,277.61,277.61,0,277.93,0,0.319999999999993
117,280.7,280.7,0,281.24,0,0.54000000000002
118,281.15,281.24,0,281.98,0.090000000000032,0.830000000000041
