Cust. ID,Arrival Time,Start Execution,Server ID,Exit System,Waiting Time,Turnaround Time
1,1.51,1.51,0,2.95,0,1.44
2,2.3,2.95,0,3.11,0.65,0.81
3,3.71,3.71,0,8.21,0,4.5
4,7.46,8.21,0,10.25,0.750000000000001,2.79
5,10.44,10.44,0,14.92,0,4.48
6,12.7,14.92,0,15.4,2.22,2.7
7,13.83,15.4,0,15.65,1.57,1.82
8,15.87,15.87,0,17.74,0,1.87
9,15.98,17.74,0,17.96,1.76,1.98
10,17.64,17.96,0,18.06,0.32,0.419999999999998
11,25.06,25.06,0,28.25,0,3.19
12,27.33,28.25,0,29.56,0.920000000000002,2.23
13,27.4,29.56,0,32.05,2.16,4.65
14,30.4,32.05,0,32.28,1.65,1.88
15,31.7,32.28,0,33.52,0.580000000000002,1.82
16,35.19,35.19,0,37.53,0,2.34
17,35.7,37.53,0,39.09,1.83,3.39
18,35.72,39.09,0,39.95,3.37,4.23
19,37.07,39.95,0,40.59,2.88,3.52
20,37.3,40.59,0,41.66,3.29000000000001,4.36
21,37.48,41.66,0,42.03,4.18,4.55
22,39.69,42.03,0,42.4,2.34,2.71
23,40.35,42.4,0,43.45,2.05,3.1
24,44.63,44.63,0,44.84,0,0.210000000000001
25,45.93,45.93,0,46.21,0,0.280000000000001
26,45.94,46.21,0,48.52,0.270000000000003,2.58000000000001
27,51.25,51.25,0,54.53,0,3.28
28,55.39,55.39,0,55.77,0,0.380000000000003
29,56.98,56.98,0,58.05,0,1.07
30,62.42,62.42,0,62.81,0,0.390000000000001
31,64.02,64.02,0,64.5,0,0.480000000000004
32,66.2,66.2,0,68.09,0,1.89
33,71.34,71.34,0,71.6,0,0.259999999999991
34,72.19,72.19,0,73.25,0,1.06
35,76.58,76.58,0,76.58,0,0
36,76.98,76.98,0,77.47,0,0.489999999999995
37,81.69,81.69,0,82.32,0,0.629999999999995
38,82.17,82.32,0,82.54,0.149999999999991,0.370000000000005
39,82.4,82.54,0,84.95,0.140000000000001,2.55
40,82.51,84.95,0,85.42,2.44,2.91
41,82.63,85.42,0,87.05,2.79000000000001,4.42
42,84.66,87.05,0,87.42,2.39,2.76000000000001
43,85.68,87.42,0,87.42,1.74,1.74
44,92.22,92.22,0,92.62,0,0.400000000000006
45,93.06,93.06,0,93.08,0,0.019999999999996
46,98.28,98.28,0,100.38,0,2.09999999999999
47,98.83,100.38,0,102.22,1.55,3.39
48,100.34,102.22,0,102.56,1.88,2.22
49,100.74,102.56,0,107.07,1.82000000000001,6.33
50,103.81,107.07,0,107.78,3.25999999999999,3.97
51,114.83,114.83,0,115.99,0,1.16
52,116.68,116.68,0,116.92,0,0.239999999999995
53,117.72,117.72,0,117.91,0,0.189999999999998
54,119,119,0,119.51,0,0.510000000000005
55,119.84,119.84,0,120.35,0,0.509999999999991
56,122.4,122.4,0,126.09,0,3.69
57,122.87,126.09,0,127.05,3.22,4.17999999999999
58,123.29,127.05,0,128.34,3.75999999999999,5.05
59,125.42,128.34,0,132.05,2.92,6.63000000000001
60,126.26,132.05,0,132.08,5.79000000000001,5.82000000000001
61,127.19,132.08,0,134.85,4.89000000000002,7.66
62,128.98,134.85,0,137.76,5.87,8.78
63,129.22,137.76,0,138.18,8.53999999999999,8.96000000000001
64,129.9,138.18,0,138.45,8.28,8.54999999999998
65,136.57,138.45,0,140.16,1.88,3.59
66,137.29,140.16,0,140.38,2.87,3.09
67,144.08,144.08,0,144.56,0,0.47999999999999
68,145.33,145.33,0,147.18,0,1.84999999999999
69,146.22,147.18,0,150.84,0.960000000000008,4.62
70,148.66,150.84,0,151.1,2.18000000000001,2.44
